MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,HousePrice
7.8496,50.0,7.23,2.1,1852,2.16,41.6787,-122.1095,5.0
3.8736,29.9,5.67,1.54,1160,3.24,40.2998,-115.7884,3.4089
3.1491,16.4,5.27,1.56,2237,3.79,34.4426,-120.013,3.1211
3.2885,28.5,4.41,1.37,4050,3.06,34.2686,-118.4138,2.9217
4.452,36.9,5.1,1.28,2088,2.46,33.6938,-115.3959,3.4299
2.3628,8.6,4.33,1.22,1311,3.57,33.8146,-115.491,1.6628
2.814,17.9,3.97,1.21,1016,3.4,39.6075,-120.5105,2.7699
5.8499,42.9,7.18,1.63,249,2.38,36.9617,-122.1693,5.0
4.3884,26.6,5.34,1.57,5187,3.23,39.9379,-116.3935,3.1449
3.894,30.7,3.01,1.06,780,3.6,39.5894,-119.8826,3.0106
5.9982,25.3,6.3,1.51,398,3.71,38.2438,-122.3412,4.0403
2.512,7.1,3.68,1.3,1518,2.96,39.0205,-115.0749,1.9329
3.0999,12.8,3.55,1.32,601,2.79,32.6744,-122.2793,1.5799
4.3161,25.9,4.6,1.45,1258,3.74,35.4619,-124.0368,3.5246
4.2393,14.8,5.63,1.58,1260,2.27,38.5593,-124.0931,3.0865
1.6506,7.3,5.05,1.6,908,3.26,32.5888,-117.9524,1.2358
2.9445,44.7,5.02,1.61,2370,2.18,32.8133,-117.5509,3.1694
3.3942,51.1,4.55,1.46,569,3.64,40.5929,-121.1274,3.0236
4.5589,42.3,6.1,1.6,914,2.85,38.9982,-121.0359,3.7475
4.2317,45.1,5.17,1.58,1126,3.76,35.021,-120.8372,4.085
3.5563,16.4,4.58,1.59,1507,3.29,39.0356,-117.3624,2.3022
1.2204,50.1,2.81,0.97,2039,2.27,40.0283,-123.707,1.9148
3.6483,14.3,3.79,1.57,803,3.85,35.4145,-114.823,2.6775
3.8195,49.7,4.98,1.42,1446,3.93,32.8424,-122.0303,3.8414
11.3607,51.8,9.94,2.49,396,3.53,41.3614,-114.1033,5.0
3.3377,38.5,4.93,1.38,3437,2.54,35.7792,-122.5505,3.2977
4.328,51.1,5.26,1.59,780,2.82,33.5116,-116.4302,3.7945
6.5025,31.8,6.14,1.47,1769,3.09,37.1726,-122.0212,3.7803
5.4112,17.2,6.73,1.76,225,2.58,39.8004,-123.4754,4.2833
7.3112,25.5,6.33,1.6,476,4.02,34.6056,-115.3757,4.8003
1.664,32.9,4.62,1.44,1001,3.09,35.0602,-115.5407,2.0345
2.125,8.4,3.47,1.34,2727,1.38,34.8058,-120.1836,2.49
2.7136,34.3,4.03,1.4,1099,3.2,41.9209,-117.1356,3.1356
1.5217,51.1,2.74,0.8,3389,2.79,34.3753,-118.6179,2.3177
3.8362,13.9,4.9,1.79,994,2.96,37.9674,-115.5998,2.6842
2.2153,42.3,5.11,1.57,1009,2.78,41.29,-121.0864,2.5112
7.7995,47.7,8.09,2.0,353,3.48,33.8955,-118.9585,5.0
2.3975,49.4,5.22,1.57,2147,3.67,41.7231,-119.3492,3.1411
3.1095,50.1,5.28,1.58,540,3.17,41.501,-120.6902,3.2311
5.5735,29.5,5.46,1.49,2958,2.8,40.9034,-115.2072,3.1099
1.8433,50.9,3.84,1.3,3101,2.98,34.5383,-122.608,3.0426
1.4705,40.6,3.26,1.06,3644,3.01,38.5235,-122.775,2.3911
4.0756,12.6,6.51,1.74,1081,2.52,39.7285,-118.4155,3.0563
4.2368,27.4,4.58,1.31,1556,3.35,41.8673,-117.5936,3.6219
5.4896,38.8,7.01,1.69,2009,3.28,34.214,-122.3149,4.7095
4.8356,16.6,6.62,1.85,369,3.92,39.7772,-120.3147,2.6073
4.318,35.1,7.05,2.0,1302,3.75,35.7186,-114.645,3.5641
2.5438,36.3,4.2,1.42,242,2.59,34.1685,-121.7845,2.2376
4.177,12.6,6.08,1.84,1026,3.49,36.5031,-117.4827,3.2373
4.3093,31.6,7.41,2.03,402,2.43,40.0414,-116.7505,3.6475
2.4944,41.3,4.0,1.22,442,3.42,36.9161,-119.7291,2.9629
8.9254,28.4,7.13,2.05,745,2.69,37.6065,-114.7372,5.0
4.7212,5.6,4.33,1.16,880,2.39,41.954,-116.7861,2.5586
2.1448,5.4,4.86,1.34,1371,3.17,36.2915,-119.6292,1.9369
5.5034,21.8,4.8,1.31,293,1.4,38.3463,-118.4928,3.9885
5.9834,48.5,6.29,1.92,1041,1.95,35.9698,-117.2353,4.7714
4.579,15.7,6.1,1.86,442,2.89,36.2315,-118.2597,2.9218
3.2428,34.8,5.09,1.59,1224,3.05,39.1086,-115.3373,3.2974
2.4386,15.4,4.8,1.62,1417,2.78,41.4099,-120.6597,2.2707
3.5513,20.1,5.31,1.43,1176,2.05,37.6524,-121.2412,3.188
4.4162,44.9,6.67,1.89,1809,2.51,39.7998,-122.1188,3.7417
3.7255,39.3,4.47,1.38,691,3.23,33.3475,-123.9146,3.3776
7.477,9.5,6.94,2.02,1938,3.35,34.506,-123.8613,4.9128
5.0893,25.1,5.44,1.57,880,2.99,37.2703,-115.4254,3.1426
2.2971,6.4,5.04,1.45,994,3.69,32.6901,-117.3804,1.7908
2.0268,27.6,4.94,1.57,1453,3.24,34.9021,-117.5626,2.3428
4.7416,36.1,6.21,1.87,222,2.55,37.4153,-118.0306,4.5896
3.2818,10.6,5.92,1.58,1474,2.83,32.6421,-115.638,2.2381
5.313,18.6,5.25,1.54,1357,2.16,35.0132,-119.4013,4.3656
4.7198,23.7,7.17,1.77,645,2.94,37.3833,-115.4218,4.2339
3.5594,48.2,6.35,1.4,308,3.67,37.9449,-120.6337,3.4778
2.3109,51.7,4.98,1.53,314,3.41,41.2946,-114.8476,2.7218
1.5548,7.1,5.36,1.66,3280,3.84,38.6308,-117.1737,1.5616
4.1381,40.8,4.16,1.37,1603,2.82,36.44,-121.6768,3.454
1.827,22.5,3.68,0.94,363,3.81,41.3383,-118.5463,1.7126
2.2617,23.4,3.77,1.2,729,2.88,39.9564,-118.8631,2.3814
4.0108,40.5,5.98,1.36,1277,3.88,34.4001,-122.8934,4.0496
3.8154,48.2,4.45,1.6,2366,2.99,33.743,-118.2693,3.0734
1.9422,49.7,4.77,1.29,254,3.42,38.9202,-121.0892,2.693
6.3261,32.1,7.89,2.27,524,3.89,37.8189,-123.766,3.9949
6.2411,21.8,7.3,2.1,2846,2.88,40.0019,-114.6237,4.2544
4.8191,42.0,6.12,1.59,211,3.13,39.5186,-117.7568,3.9805
4.8161,16.8,5.1,1.35,470,3.77,38.4395,-115.3554,3.3366
4.8191,31.5,5.21,1.6,4034,2.92,41.8706,-117.4042,3.5502
5.9571,21.9,7.57,1.89,1340,2.21,37.5691,-120.6588,4.1249
5.1537,35.9,6.72,1.86,564,4.29,33.5745,-119.0706,4.0134
2.4119,16.3,4.42,1.31,283,2.72,40.3686,-117.4074,2.3803
3.258,14.0,4.62,1.16,234,3.1,34.8926,-114.5054,2.635
10.7164,48.2,7.81,1.73,537,3.69,39.8844,-121.7126,5.0
1.2584,9.8,2.9,1.11,2759,2.63,41.5925,-115.3752,2.0072
2.8614,28.8,6.25,1.66,845,2.4,39.1196,-114.8744,3.0328
6.3434,15.4,5.78,1.57,1729,3.15,38.1623,-117.4618,4.1027
2.493,6.8,4.65,1.53,3205,1.92,36.8737,-114.8011,2.6465
5.225,6.7,6.94,2.06,829,2.83,35.9619,-120.2416,3.7209
3.7901,13.2,4.27,1.31,455,3.15,35.8535,-114.5792,3.1726
2.5854,45.7,4.7,1.39,1074,2.84,38.5455,-117.1316,3.0707
1.146,18.3,4.44,1.46,3064,2.07,39.6371,-123.8715,1.3873
4.0795,49.7,5.46,1.39,2158,3.96,38.9459,-115.0499,3.9413
2.3847,32.3,6.73,1.88,282,3.06,34.3849,-119.3584,2.7484
3.4804,25.5,3.75,1.33,1615,3.86,37.1929,-119.6047,2.8353
4.7951,32.3,6.72,1.95,1218,2.84,40.0206,-118.522,3.8849
5.714,29.3,6.29,1.47,3056,2.47,37.0192,-122.7763,4.0419
2.8566,40.7,5.33,1.45,357,3.16,37.5979,-119.5145,3.0769
2.5829,18.3,4.9,1.35,1116,2.87,39.8258,-115.8225,2.2406
1.8106,21.6,3.5,1.21,2739,2.29,38.782,-124.1421,2.733
5.8567,47.0,6.7,1.91,833,3.88,36.3888,-121.5162,4.3969
9.9201,49.5,7.47,2.22,989,2.63,41.0064,-124.275,5.0
6.1796,47.0,7.19,1.86,288,1.9,34.0444,-120.0597,4.2891
6.88,24.7,7.37,1.9,591,3.8,41.9574,-116.8712,4.6604
2.5039,41.7,5.01,1.68,671,2.7,33.6291,-116.1525,2.7254
4.6509,27.4,6.64,1.87,3683,2.64,32.642,-114.6591,3.481
5.4706,28.4,6.58,2.01,599,1.94,40.9552,-118.0933,3.692
0.624,14.6,3.49,1.24,941,4.04,34.8271,-121.7028,0.9353
2.0831,32.8,3.55,1.04,1535,2.23,39.4321,-114.8737,2.5625
8.0832,13.7,7.28,1.76,412,3.04,40.2046,-116.3918,5.0
1.636,20.6,4.93,1.25,1000,3.55,40.6604,-118.4408,1.803
7.4367,45.2,8.61,2.32,1810,3.25,41.9201,-117.2045,5.0
1.6304,14.7,3.79,1.44,2620,2.96,35.2934,-114.872,1.8474
2.1363,8.3,4.32,1.64,1381,1.98,39.2473,-117.0336,2.1025
4.6936,8.2,5.09,1.64,1527,2.51,33.5963,-120.5426,3.0681
3.8387,49.2,6.24,1.92,362,3.11,36.3647,-117.0271,3.0055
3.0028,28.8,5.33,1.48,3698,2.53,40.5557,-123.8892,3.3747
7.9227,24.2,9.31,2.19,371,3.12,35.9928,-120.3586,4.8832
1.8356,43.1,3.4,1.31,1988,3.41,38.1154,-120.1555,2.1721
3.4117,44.3,4.74,1.51,569,3.58,37.2858,-122.5983,3.6475
4.9969,20.6,6.18,1.75,3454,2.26,38.6365,-124.0645,3.1209
4.2828,37.6,6.09,1.78,1727,4.32,41.7425,-122.9395,3.1735
2.6283,41.2,4.4,1.43,1882,3.46,33.0295,-117.6229,2.6403
2.6785,35.8,3.91,1.47,497,3.0,37.9526,-116.1167,2.7458
5.6703,12.1,7.11,2.12,902,3.65,40.6988,-114.2203,3.9022
5.8064,46.2,7.06,1.99,1354,4.42,37.0731,-120.7671,4.2813
4.3407,30.3,4.87,1.6,1963,2.14,33.246,-118.1863,4.1892
2.3349,18.3,5.49,1.67,332,2.86,37.8251,-114.7411,2.2377
2.723,25.0,5.57,1.54,4136,1.57,35.6547,-122.5962,2.6814
3.6592,6.8,5.3,1.67,2851,3.12,33.9719,-116.98,2.3371
3.9355,11.0,5.42,1.38,578,3.22,40.5658,-116.5992,3.0256
4.8963,41.0,6.38,1.93,2276,2.98,37.4552,-123.3924,4.2164
3.3199,5.0,4.3,1.18,1077,2.61,41.3661,-115.5153,2.9727
5.6053,24.6,6.39,1.82,943,1.77,40.1572,-116.0063,3.4453
5.5735,29.6,4.62,1.3,653,3.22,39.0832,-123.9593,3.9915
7.0005,7.6,7.9,2.16,1244,3.87,32.5477,-123.3709,4.5363
3.7413,50.7,4.0,1.29,1771,2.65,36.5643,-123.7989,3.7268
4.3782,15.6,6.83,1.63,835,3.26,34.3761,-120.8856,3.3374
3.4517,19.3,4.81,1.52,1391,2.06,41.1526,-119.1053,3.1534
2.3495,19.3,4.24,1.26,1642,3.27,34.1585,-118.8701,1.9846
9.8008,15.8,8.38,2.31,1690,2.76,35.2176,-121.5698,5.0
6.5482,5.1,6.7,1.84,264,2.54,37.4099,-115.0017,4.3388
5.5155,39.3,7.44,2.05,2557,2.54,35.002,-120.5437,3.7216
3.6761,50.4,3.22,1.0,936,2.76,34.4937,-123.8354,3.0372
2.2441,15.5,5.37,1.49,565,3.23,38.1914,-121.2377,2.0549
6.0164,36.2,6.88,1.81,532,2.21,33.3448,-118.8827,4.5309
3.4204,39.9,4.09,1.45,992,2.76,33.0526,-120.1361,2.6044
4.5793,44.9,4.89,1.73,2815,2.98,36.0363,-121.5068,3.6058
2.7176,24.9,5.97,1.57,770,2.34,39.3463,-122.9605,3.0692
4.2044,19.2,4.77,1.61,1862,4.08,37.7707,-115.9445,2.9952
2.8058,20.3,3.76,0.93,322,2.49,36.5173,-114.1393,2.5065
2.8629,38.5,5.63,1.45,976,2.6,37.8746,-120.9387,2.6769
4.1766,43.4,5.78,1.51,5948,2.41,35.9718,-120.4075,3.746
1.6185,13.5,3.22,0.94,1966,4.08,41.3934,-117.996,1.674
1.6584,22.4,4.17,1.1,484,3.33,33.0216,-116.9719,1.8548
2.4885,47.4,3.67,1.3,1035,2.44,38.8972,-120.3013,2.967
3.2997,42.9,5.86,1.64,519,3.66,40.9672,-115.0697,3.197
5.6921,51.3,7.26,2.01,832,3.12,40.1369,-118.588,4.498
3.3967,40.4,5.46,1.7,2017,3.15,34.2484,-119.706,2.8625
3.6639,23.5,5.49,1.64,1970,2.79,35.3113,-117.7039,2.8595
3.167,32.8,6.31,1.86,511,2.55,39.312,-114.5814,2.9755
4.375,36.1,5.62,1.61,3265,3.2,33.3006,-116.1956,2.855
2.3373,8.7,3.46,1.01,1277,2.67,40.2127,-123.8919,2.1945
3.4916,30.6,5.45,1.75,773,4.09,39.3296,-120.9104,3.2747
4.5535,38.3,7.4,1.89,1036,2.24,39.4313,-119.5004,3.4313
4.1595,12.9,4.68,1.3,1315,3.92,33.4523,-121.0919,3.4033
3.7247,41.7,4.95,1.46,1185,2.93,39.3187,-117.1581,3.7467
3.7483,32.4,5.58,1.48,1000,3.18,38.9583,-115.8721,2.7358
4.7784,49.8,5.82,1.6,1044,3.5,40.3938,-116.8403,4.3964
10.0455,7.0,8.24,2.2,433,2.62,32.8952,-114.2088,5.0
2.4195,17.5,5.35,1.62,2210,3.52,32.7196,-121.52,2.5166
10.195,33.3,10.97,2.56,1136,1.38,36.0436,-115.3751,5.0
2.363,18.9,4.57,1.34,369,2.57,33.9135,-116.4804,2.5911
1.0816,38.6,2.93,1.25,1944,2.45,37.8047,-120.6058,2.2144
2.7763,40.7,3.43,1.26,3434,2.25,41.2148,-116.8119,2.5024
4.4175,9.8,5.86,1.98,3732,2.87,36.2191,-123.2384,2.8263
8.9643,29.2,9.26,2.53,753,3.23,40.527,-116.2488,5.0
2.2426,28.9,4.73,1.62,375,3.42,32.5023,-118.8702,2.4404
4.764,22.4,5.86,1.46,1077,3.14,34.1009,-121.3186,3.7362
1.7475,48.8,3.58,1.33,343,2.6,32.789,-117.6111,2.6174
8.7978,43.9,7.4,1.97,3461,3.22,35.6174,-117.7555,5.0
6.6123,37.8,7.64,1.94,443,3.07,41.1278,-122.1632,4.438
2.8658,38.6,5.45,1.62,550,3.56,33.421,-123.9899,2.7635
7.1538,26.7,6.06,1.85,826,3.47,38.2609,-119.877,5.0
3.4808,48.3,6.36,1.85,780,3.02,36.7892,-118.491,3.2173
6.7901,37.6,7.53,1.87,2100,2.46,41.4154,-115.3586,4.7543
3.7103,39.3,6.35,1.88,931,2.61,33.6639,-114.8322,2.8097
3.7929,45.5,4.2,1.24,425,2.67,34.5143,-118.9062,3.4394
2.8966,17.9,3.65,1.26,573,2.81,32.7806,-116.6112,2.2132
5.0823,42.9,5.93,1.64,1054,3.16,36.6224,-119.8191,4.3468
3.9416,14.2,5.77,1.62,391,3.43,35.1394,-116.69,3.2077
4.8177,21.2,7.33,2.08,1335,2.97,40.7641,-122.211,3.6167
1.5369,20.8,4.49,1.24,1201,3.01,38.2469,-120.5151,2.0756
6.9135,51.0,6.95,2.18,1705,3.09,38.3339,-117.8309,4.6969
7.8036,45.3,6.86,1.6,3531,2.69,37.5532,-124.1148,4.8548
3.9321,38.0,6.34,1.68,3120,2.44,33.3726,-116.9309,2.9894
9.6751,39.2,8.03,2.16,3704,1.95,36.7277,-115.7775,5.0
8.5194,31.4,9.41,2.47,537,2.58,41.9953,-120.2288,5.0
5.1386,49.5,5.86,1.66,369,3.28,40.4347,-119.731,4.2304
7.201,28.3,8.59,2.21,632,2.58,40.9879,-115.6169,4.7231
6.2545,22.9,7.3,2.02,2906,2.86,40.3207,-116.3883,4.535
1.3428,12.7,3.7,1.2,4493,3.28,33.4789,-121.3609,1.731
3.2006,42.0,4.5,1.61,2554,3.31,34.6608,-120.9954,3.2691
5.3221,39.5,5.92,1.81,340,2.35,32.5297,-117.3754,3.2913
8.0699,23.1,8.18,2.27,3735,3.6,35.3833,-118.5554,3.5796
1.6859,6.2,4.07,1.17,861,3.68,33.5318,-122.6453,1.9833
1.3882,44.4,3.36,1.16,211,2.32,36.9915,-121.1387,1.8684
3.5924,5.5,5.02,1.46,901,2.51,38.9327,-115.1202,2.5904
1.1179,38.1,3.73,1.1,257,3.71,40.8078,-117.2806,1.9896
3.5285,50.6,3.41,1.24,1142,2.91,39.6176,-114.2431,3.7182
4.4735,25.6,6.05,1.63,696,1.67,41.4166,-116.4765,3.677
2.189,16.0,3.53,1.3,970,2.16,33.012,-114.6919,2.0604
3.5787,38.1,4.22,1.18,1340,2.85,32.6157,-122.0949,3.451
5.9603,43.4,5.23,1.8,2637,2.3,38.7827,-116.4309,4.3651
2.7693,30.7,3.23,1.01,1501,2.75,35.2488,-124.0938,2.5884
2.3842,50.5,3.35,1.2,883,3.02,34.9083,-117.4582,3.0542
3.4948,7.4,4.53,1.52,2254,3.88,35.6434,-119.5133,2.2051
2.0698,28.7,5.8,1.58,3032,2.83,35.0631,-120.763,2.5794
9.3005,38.8,8.16,2.26,353,3.64,37.3586,-115.5035,5.0
3.7696,45.5,5.4,1.4,1111,3.86,36.6814,-115.5865,3.355
2.5153,13.4,4.83,1.68,602,3.86,37.3681,-124.0725,2.5606
4.1379,42.6,5.59,1.62,258,3.17,38.8908,-118.083,4.148
3.4849,31.0,5.03,1.42,1525,1.82,36.1777,-120.5481,2.5787
3.2862,23.6,4.02,1.26,2583,3.28,34.8874,-120.0603,2.5296
2.7689,11.2,5.82,1.79,413,3.63,34.0789,-115.8132,2.6278
2.6991,45.7,6.07,1.63,2208,2.95,35.82,-121.1396,3.1583
1.5545,12.4,2.59,0.9,2504,4.05,39.5472,-114.6809,1.713
7.1954,19.6,6.5,1.77,3149,3.52,39.6887,-122.4677,4.3065
4.968,18.6,5.76,1.47,570,3.34,38.8356,-117.5402,3.334
4.3495,46.0,4.84,1.74,3012,3.65,34.7233,-117.4445,3.8934
3.4558,36.6,5.48,1.51,664,3.2,38.0868,-121.7276,3.2477
2.169,42.4,3.72,1.37,1164,1.5,37.9216,-120.9875,2.8427
2.4349,16.8,6.19,1.77,262,2.7,37.1005,-115.7851,2.3732
1.6438,34.4,4.94,1.34,254,3.72,37.7248,-116.5296,1.8465
2.5928,31.9,4.73,1.44,1729,2.52,37.172,-120.9432,3.0663
2.0141,44.1,5.03,1.62,905,2.87,37.8718,-118.8536,2.8257
8.2754,47.6,8.85,2.24,555,2.37,39.2973,-123.6709,5.0
5.7572,5.6,6.0,1.88,453,4.07,33.5415,-122.1708,3.3265
3.854,36.7,4.66,1.59,1530,4.01,39.6214,-119.3446,3.5621
2.2916,7.4,4.44,1.53,200,2.47,33.7909,-123.4231,1.7994
2.0674,30.8,4.93,1.42,2167,3.09,33.133,-115.698,2.3056
3.3413,18.5,5.12,1.36,299,2.59,41.7728,-116.9763,3.2292
5.8797,19.4,5.27,1.46,455,3.37,41.5914,-114.6749,3.1419
1.6673,21.6,3.36,1.2,786,3.31,33.0741,-117.2266,1.8213
4.9348,34.2,5.9,1.76,996,3.49,36.7109,-114.7079,3.4186
2.5868,20.7,4.49,1.07,726,3.2,34.2693,-118.644,2.1892
2.8372,39.4,6.28,1.75,664,4.76,37.1108,-118.1778,3.0465
3.796,24.0,4.17,1.36,4186,2.38,40.3867,-114.3349,3.3011
2.3323,8.2,4.8,1.42,1431,1.97,41.5308,-117.7503,2.255
3.2542,41.8,6.14,1.92,228,2.76,38.5254,-123.986,3.4666
2.2307,18.4,6.16,1.79,875,2.06,35.8621,-116.9172,2.411
2.6976,25.3,4.3,1.56,2695,2.1,38.2316,-115.0642,2.488
5.4202,37.2,6.65,1.8,631,2.4,35.464,-116.1851,3.6115
3.8986,20.6,5.79,1.8,319,2.45,41.1433,-118.3449,3.6073
5.4098,7.7,6.4,2.03,1904,2.43,40.7688,-117.4527,3.735
2.5692,22.6,4.46,1.59,1318,3.31,37.8032,-114.2,2.4867
4.9534,49.4,6.32,1.6,1214,2.7,35.5856,-123.3752,3.8755
1.4529,35.2,1.85,0.83,266,2.89,35.2872,-117.4941,1.8226
3.7952,36.6,5.82,1.61,382,3.54,32.8175,-121.4093,3.2454
5.1216,34.7,6.17,1.81,1369,2.54,40.2503,-117.7711,3.3775
1.4235,14.4,3.68,1.34,480,2.84,36.7786,-118.1022,1.2349
2.5851,24.7,6.19,1.61,1042,3.22,35.5888,-122.7347,2.5341
3.7938,40.3,4.74,1.46,1145,1.84,36.9755,-122.1912,3.6257
6.1047,9.8,6.34,1.47,600,1.57,40.278,-117.9594,3.8154
2.6974,18.1,6.21,1.96,3758,3.21,33.6838,-122.9921,2.2362
4.8545,18.0,5.25,1.47,2418,3.3,40.6477,-121.5952,3.2803
7.4377,25.3,7.02,1.91,1738,4.24,41.0263,-115.7805,4.5298
4.9693,51.1,5.86,1.63,297,3.09,41.4937,-120.9637,4.0762
3.3184,8.2,5.66,1.8,335,3.49,36.2761,-119.3218,3.4259
4.4838,29.4,5.86,1.25,1015,2.88,34.5628,-114.7004,3.7259
2.6564,13.4,3.56,1.21,410,3.18,36.0496,-121.9831,2.7752
3.8727,50.6,4.9,1.46,4795,4.0,35.6627,-120.3258,3.8106
3.4045,10.3,4.56,1.34,407,1.73,34.1735,-118.1141,2.3123
4.4082,24.0,5.58,1.88,1002,3.25,38.269,-116.5955,2.8793
2.9588,39.7,5.12,1.39,743,4.28,37.0279,-115.1031,2.4278
4.5369,38.1,6.06,1.83,1424,3.17,40.7242,-114.9622,4.0756
2.9439,24.9,3.35,1.22,366,3.99,32.805,-116.3783,2.235
5.7286,21.3,7.29,2.15,875,2.62,38.6167,-121.971,3.7021
3.1027,23.7,5.06,1.41,585,2.98,39.748,-124.0469,2.8575
1.1373,17.4,4.79,1.35,2824,3.02,39.7151,-120.3855,1.8298
2.1032,14.7,4.62,1.59,250,1.67,40.9177,-122.8562,2.5493
3.7362,27.7,6.12,1.79,3140,2.3,39.4258,-117.054,3.2484
8.2375,17.6,8.32,1.93,2348,2.34,41.3142,-117.5565,4.8453
5.616,18.5,7.45,1.91,624,3.49,35.6602,-123.8515,4.2832
1.0285,35.9,4.03,1.36,2069,3.52,37.2805,-115.7667,1.6671
1.5891,50.5,3.88,1.4,238,3.19,32.6338,-121.7628,2.4135
6.5053,33.4,8.72,2.14,4289,3.49,32.5661,-119.8913,4.7162
5.1071,8.6,6.78,1.42,1097,2.9,34.7812,-117.4871,3.233
10.5307,8.6,9.78,2.53,634,3.72,33.4577,-119.9199,5.0
2.8816,49.7,3.71,1.06,740,3.01,34.972,-119.7989,3.1952
2.3068,19.0,3.35,0.87,282,3.03,34.1819,-123.6306,2.0736
3.8423,9.3,5.54,1.18,5651,2.84,32.7709,-120.2053,2.6679
2.8523,33.2,4.83,1.59,248,3.41,41.1384,-116.4986,3.003
6.1941,34.3,6.23,1.76,1477,2.75,32.5781,-114.9652,4.836
2.801,35.5,4.79,1.42,902,3.59,39.4928,-120.0823,3.0936
3.1998,17.6,6.19,1.95,3769,2.32,33.9454,-119.9794,2.9109
2.1397,5.7,4.84,1.56,539,2.34,41.1662,-117.1332,2.3421
5.4244,50.4,5.34,1.81,1111,3.41,40.9816,-114.6837,3.7262
2.2117,16.8,4.24,1.14,990,2.95,38.7121,-121.576,2.4172
4.5805,36.8,5.1,1.52,1656,2.73,38.8862,-119.8105,3.6573
8.9666,38.2,8.07,1.87,285,3.53,32.5507,-116.1811,5.0
1.3268,33.7,3.47,1.16,458,2.64,41.8563,-118.0811,2.2173
7.618,19.7,7.19,1.9,490,2.88,40.8394,-123.172,5.0
4.2806,17.7,4.56,1.51,1808,3.84,41.0035,-117.8971,3.042
1.9624,33.1,4.08,1.32,452,3.92,38.7628,-122.3952,2.5121
3.9192,45.7,4.9,1.57,1223,3.94,35.7755,-119.0958,2.9516
